zone;countryIt;countryEn
ZONE_1;ISOLE FÆR ØER;ISOLE FAROE
ZONE_1;ISOLE FAROE;ISOLE FAROE
ZONE_1;ISRAEL;ISRAELE
ZONE_1;ISRAËL;ISRAELE
ZONE_1;ISRAELE;ISRAELE
ZONE_1;JAMAHIRIYA LIBICA;JAMAHIRIYA LIBICA
ZONE_1;JAMAHIRIYA LIBYENNE;JAMAHIRIYA LIBICA
ZONE_1;JAMAHIRYA LIBICA (LIBIA);JAMAHIRIYA LIBICA
ZONE_1;JAMAHIRYA LIBICA LIBIA;JAMAHIRIYA LIBICA
ZONE_1;JERSEY;JERSEY
ZONE_1;JORDAN;GIORDANIA
ZONE_1;JORDANIA;GIORDANIA
ZONE_1;JORDANIE;GIORDANIA
ZONE_1;JUTLAND;DANIMARCA
ZONE_1;KYPROS;CIPRO
ZONE_1;LATVIA;LETTONIA
ZONE_1;LEBANON;LIBANO
ZONE_1;LETTONIA;LETTONIA
ZONE_1;LETTONIE;LETTONIA
ZONE_1;LIBAN;LIBANO
ZONE_1;LIBANO;LIBANO
ZONE_1;LIBIA;JAMAHIRIYA LIBICA
ZONE_1;LIBYA;JAMAHIRIYA LIBICA
ZONE_1;LIBYAN ARAB JAMAHIRIYA;JAMAHIRIYA LIBICA
ZONE_1;LIBYE;JAMAHIRIYA LIBICA
ZONE_1;LICHTENSTEIN;LIECHTENSTEIN
ZONE_1;LIECHTENSTEIN;LIECHTENSTEIN
ZONE_1;LITHUANIA;LITUANIA
ZONE_1;LITUANIA;LITUANIA
ZONE_1;LITUANIE;LITUANIA
ZONE_1;LUSSEMBURGO;LUSSEMBURGO
ZONE_1;LUXEMBOURG;LUSSEMBURGO
ZONE_1;LUXEMBURGO;LUSSEMBURGO
ZONE_1;LYBIA;JAMAHIRIYA LIBICA
ZONE_1;MACÉDOINE (EX RÉP YOUGOSLAVE );MACEDONIA
ZONE_1;MACEDOINE EX REP YOUGOSLAVE;MACEDONIA
ZONE_1;MACÉDOINE EX RÉP YOUGOSLAVE;MACEDONIA
ZONE_1;MACEDOINE(EX REP YOUGOSLAVE);MACEDONIA
ZONE_1;MACEDONIA THE FORMER YUGOSLAV REPUBLIC OF;MACEDONIA
ZONE_1;MACEDONIA, THE FORMER YUGOSLAV REPUBLIC OF;MACEDONIA
ZONE_1;MACEDONIA;MACEDONIA
ZONE_1;MADERA;PORTOGALLO
ZONE_1;MALTA;MALTA
ZONE_1;MALTE;MALTA
ZONE_1;MAN;ISOLA DI MAN
ZONE_1;MAROC;MAROCCO
ZONE_1;MAROCCO;MAROCCO
ZONE_1;MARRUECOS;MAROCCO
ZONE_1;MELILLA;SPAGNA
ZONE_1;MOLDAVIA;MOLDAVIA
ZONE_1;MOLDOVA (REP. DE);MOLDAVIA
ZONE_1;MOLDOVA REP DE;MOLDAVIA
ZONE_1;MOLDOVA REPUBLIC OF;MOLDAVIA
ZONE_1;MOLDOVA, REPUBLIC OF;MOLDAVIA
ZONE_1;MOLDOVA;MOLDAVIA
ZONE_1;MONACO (PRINCIPATO);PRINCIPATO DI MONACO
ZONE_1;MONACO PRINCIPATO;PRINCIPATO DI MONACO
ZONE_1;MONACO;PRINCIPATO DI MONACO
ZONE_1;MONTECARLO;PRINCIPATO DI MONACO
ZONE_1;MONTENEGRO;MONTENEGRO
ZONE_1;MONTÉNÉGRO;MONTENEGRO
ZONE_1;MOROCCO;MAROCCO
ZONE_1;NETHERLAND;OLANDA
ZONE_1;NETHERLANDS;OLANDA
ZONE_1;NORGE;NORVEGIA
ZONE_1;NORUEGA;NORVEGIA
ZONE_1;NORVEGE;NORVEGIA
ZONE_1;NORVÈGE;NORVEGIA
ZONE_1;NORVEGIA;NORVEGIA
ZONE_1;NORWAY;NORVEGIA
ZONE_1;OLANDA;OLANDA
ZONE_1;OMAN;OMAN
ZONE_1;OSTERREICH;AUSTRIA
ZONE_1;PAESI BASSI;OLANDA
ZONE_1;PAISES BAJOS;OLANDA
ZONE_1;PAYS BAS;OLANDA
ZONE_1;PAYS-BAS;OLANDA
ZONE_1;POLAND;POLONIA
ZONE_1;POLOGNE;POLONIA
ZONE_1;POLONIA;POLONIA
ZONE_1;PORTOGALLO;PORTOGALLO
ZONE_1;PORTUGAL;PORTOGALLO
ZONE_1;PRINCIPALITY OF MONACO;PRINCIPATO DI MONACO
ZONE_1;PRINCIPATO DI ANDORRA;ANDORRA
ZONE_1;PRINCIPATO DI MONACO;PRINCIPATO DI MONACO
ZONE_1;REGNO UNITO;GRAN BRETAGNA
ZONE_1;REP CECA;REPUBBLICA CECA
ZONE_1;REPUBBLICA CECA;REPUBBLICA CECA
ZONE_1;REPUBBLICA DI MACEDONIA;MACEDONIA
ZONE_1;REPUBBLICA DI MONTENEGRO;MONTENEGRO
ZONE_1;REPUBBLICA DI SAN MARINO;SAN MARINO
ZONE_1;REPUBBLICA DI SERBIA;SERBIA
ZONE_1;REPUBBLICA SLOVACCA;SLOVACCHIA
ZONE_1;REPUBLIC OF MONTENEGRO;MONTENEGRO
ZONE_1;REPUBLIC OF SERBIA;SERBIA
ZONE_1;REPUBLIKA CRNA GORA;MONTENEGRO
ZONE_1;REPUBLIKA SRBIJA;SERBIA
ZONE_1;REPUBLIQUE FRANCAISE;FRANCIA
ZONE_1;ROMANIA;ROMANIA
ZONE_1;ROUMANIA;ROMANIA
ZONE_1;ROUMANIE;ROMANIA
ZONE_1;RUMANIA;ROMANIA
ZONE_1;RUSSIA;FEDERAZIONE RUSSA
ZONE_1;RUSSIAN FEDERATION;FEDERAZIONE RUSSA
ZONE_1;RUSSIE (FEDERATION DE);FEDERAZIONE RUSSA
ZONE_1;RUSSIE (FÉDÉRATION DE);FEDERAZIONE RUSSA
ZONE_1;RUSSIE FEDERATION DE;FEDERAZIONE RUSSA
ZONE_1;RUSSIE FÉDÉRATION DE;FEDERAZIONE RUSSA
ZONE_1;SAINT MARIN;SAN MARINO
ZONE_1;SAN MARINO;SAN MARINO
ZONE_1;SCHWEIZ;SVIZZERA
ZONE_1;SERBIA;SERBIA
ZONE_1;SERBIE;SERBIA
ZONE_1;SLOVACCHIA;SLOVACCHIA
ZONE_1;SLOVAK REPUBLIC;SLOVACCHIA
ZONE_1;SLOVAKIA;SLOVACCHIA
ZONE_1;SLOVAQUIE;SLOVACCHIA
ZONE_1;SLOVENIA;SLOVENIA
ZONE_1;SLOVENIE;SLOVENIA
ZONE_1;SLOVÉNIE;SLOVENIA
ZONE_1;SPAGNA;SPAGNA
ZONE_1;SPAIN;SPAGNA
ZONE_1;SPANIA;SPAGNA
ZONE_1;SUECIA;SVEZIA
ZONE_1;SUEDE;SVEZIA
ZONE_1;SUÈDE;SVEZIA
ZONE_1;SUISSE;SVIZZERA
ZONE_1;SUIZA;SVIZZERA
ZONE_1;SVERIGE;SVEZIA
ZONE_1;SVEZIA;SVEZIA
ZONE_1;SVIZZERA;SVIZZERA
ZONE_1;SWEDEN;SVEZIA
ZONE_1;SWITZERLAND;SVIZZERA
ZONE_1;TCHÈQUE  ( REP.);REPUBBLICA CECA
ZONE_1;TUNEZ;TUNISIA
ZONE_1;TUNISIA;TUNISIA
ZONE_1;TUNISIE;TUNISIA
ZONE_1;TURCHIA;TURCHIA
ZONE_1;TURKEY;TURCHIA
ZONE_1;TURQUIA;TURCHIA
ZONE_1;TURQUIE;TURCHIA
ZONE_1;U K;GRAN BRETAGNA
ZONE_1;U.K.;GRAN BRETAGNA
ZONE_1;UCRAINA;UCRAINA
ZONE_1;UKRAINE;UCRAINA
ZONE_1;UKRAINIAN;UCRAINA
ZONE_1;UNGHERIA;UNGHERIA
ZONE_1;UNITED KINGDOM;GRAN BRETAGNA
ZONE_1;VATICAN CITY STATE;CITTA' DEL VATICANO
ZONE_1;VATICAN CITY;CITTA' DEL VATICANO
ZONE_1;VATICAN;CITTA' DEL VATICANO
ZONE_1;VATICANO;CITTA' DEL VATICANO
ZONE_2;AFGHANISTAN;AFGHANISTAN
ZONE_2;AFRICA DEL SUD;SUDAFRICA
ZONE_2;AFRIQUE DU SUD;SUDAFRICA
ZONE_2;AMERICA;STATI UNITI D'AMERICA
ZONE_2;ANGOLA;ANGOLA
ZONE_2;ANGUILLA;ANGUILLA
ZONE_2;ANTIGUA AND BARBUDA;ANTIGUA E BARBUDA
ZONE_2;ANTIGUA E BARBUDA;ANTIGUA E BARBUDA
ZONE_2;ANTIGUA ET BARBUDA;ANTIGUA E BARBUDA
ZONE_2;ANTIGUA Y BARBUDA;ANTIGUA E BARBUDA
ZONE_2;ANTIGUA-ET-BARBUDA;ANTIGUA E BARBUDA
ZONE_2;ANTIGUA;ANTIGUA E BARBUDA
ZONE_2;ANTILLAS NEERLANDESAS;ANTILLE OLANDESI
ZONE_2;ANTILLE OLANDESI;ANTILLE OLANDESI
ZONE_2;ANTILLES NEERLANDAISES;ANTILLE OLANDESI
ZONE_2;ARABIA SAUDITA;ARABIA SAUDITA
ZONE_2;ARABIA;ARABIA SAUDITA
ZONE_2;ARABIE SAOUDITE;ARABIA SAUDITA
ZONE_2;ARGENTINA;ARGENTINA
ZONE_2;ARGENTINE;ARGENTINA
ZONE_2;ARMENIA;ARMENIA
ZONE_2;ARMENIE;ARMENIA
ZONE_2;ARMÉNIE;ARMENIA
ZONE_2;ARUBA;ANTILLE OLANDESI
ZONE_2;ASCENSION;ASCENSION
ZONE_2;AZEIRBAIJAN;AZERBAIJAN
ZONE_2;AZERBAIGIAN;AZERBAIJAN
ZONE_2;AZERBAIJAN;AZERBAIJAN
ZONE_2;AZERBAJDZAN;AZERBAIJAN
ZONE_2;BAHAMA;BAHAMA
ZONE_2;BAHAMAS ISLAND;BAHAMA
ZONE_2;BAHAMAS;BAHAMA
ZONE_2;BAHRAIN;BAHRAIN
ZONE_2;BAHREIN;BAHRAIN
ZONE_2;BAHREÏN;BAHRAIN
ZONE_2;BAIA GUANTANAMO;GUANTANAMO BAY
ZONE_2;BANGLADESH;BANGLADESH
ZONE_2;BARBADE;BARBADOS
ZONE_2;BARBADOS;BARBADOS
ZONE_2;BARBUDA;ANTIGUA E BARBUDA
ZONE_2;BELICE;BELIZE
ZONE_2;BELIZE;BELIZE
ZONE_2;BENIN;BENIN
ZONE_2;BÉNIN;BENIN
ZONE_2;BERMUDA;BERMUDA
ZONE_2;BERMUDAS;BERMUDA
ZONE_2;BERMUDE;BERMUDA
ZONE_2;BERMUDES;BERMUDA
ZONE_2;BHOUTAN;BHUTAN
ZONE_2;BHUTAN;BHUTAN
ZONE_2;BIRMANIA;MYANMAR
ZONE_2;BOLIVIA;BOLIVIA
ZONE_2;BOLIVIE;BOLIVIA
ZONE_2;BONAIRE;ANTILLE OLANDESI
ZONE_2;BOTSWANA;BOTSWANA
ZONE_2;BRASIL;BRASILE
ZONE_2;BRASILE;BRASILE
ZONE_2;BRAZIL;BRASILE
ZONE_2;BRESIL;BRASILE
ZONE_2;BRÉSIL;BRASILE
ZONE_2;BRITISH INDIAN OCEAN TERRITORY;TERRIT. BRIT. DELL'OCEANO INDIANO
ZONE_2;BRITISH VIRGIN ISLANDS;ISOLE VERGINI BRITANNICHE
ZONE_2;BRUNEI DARUSSALAM;BRUNEI DARUSSALAM
ZONE_2;BRUNEI;BRUNEI DARUSSALAM
ZONE_2;BRUNI;BRUNEI DARUSSALAM
ZONE_2;BURKINA FASO;BURKINA FASO
ZONE_2;BURKINA;BURKINA FASO
ZONE_2;BURMA;MYANMAR
ZONE_2;BURUNDI;BURUNDI
ZONE_2;CABO VERDE;CAPO VERDE
ZONE_2;CAICOS;ISOLE TURKS E CAICOS
ZONE_2;CAIMANES;ISOLE CAYMAN
ZONE_2;CAIMANS ISLANDS;ISOLE CAYMAN
ZONE_2;CAIMANS;ISOLE CAYMAN
ZONE_2;CAÏMANS;ISOLE CAYMAN
ZONE_2;CAMBODGE;CAMBOGIA
ZONE_2;CAMBODIA;CAMBOGIA
ZONE_2;CAMBOGIA;CAMBOGIA
ZONE_2;CAMEROON;CAMERUN
ZONE_2;CAMEROUN;CAMERUN
ZONE_2;CAMERUN;CAMERUN
ZONE_2;CANADA;CANADA
ZONE_2;CAP VERT;CAPO VERDE
ZONE_2;CAP-VERT;CAPO VERDE
ZONE_2;CAPE VERDE;CAPO VERDE
ZONE_2;CAPO VERDE;CAPO VERDE
ZONE_2;CAYMAN ISLANDS;ISOLE CAYMAN
ZONE_2;CAYMAN;ISOLE CAYMAN
ZONE_2;CENTRAFIQUE REP;REPUBBLICA CENTROAFRICANA
ZONE_2;CENTRAFIQUE(REP);REPUBBLICA CENTROAFRICANA
ZONE_2;CENTRAL AFRICAN REPUBLIC;REPUBBLICA CENTROAFRICANA
ZONE_2;CENTROAFRICANA;REPUBBLICA CENTROAFRICANA
ZONE_2;CHAD;CIAD
ZONE_2;CHAGOS;TERRIT. BRIT. DELL'OCEANO INDIANO
ZONE_2;CHILE;CILE
ZONE_2;CHILI;CILE
ZONE_2;CHINA PEOPLE'S REPUBLIC;REPUBBLICA POPOLARE CINESE
ZONE_2;CHINA;REPUBBLICA POPOLARE CINESE
ZONE_2;CHINE;REPUBBLICA POPOLARE CINESE
ZONE_2;CIAD;CIAD
ZONE_2;CILE;CILE
ZONE_2;CINA;REPUBBLICA POPOLARE CINESE
ZONE_2;COLOMBIA;COLOMBIA
ZONE_2;COLOMBIE;COLOMBIA
ZONE_2;COMORE;COMORE
ZONE_2;COMORES;COMORE
ZONE_2;COMOROS;COMORE
ZONE_2;CONGO (BRAZZAVILLE);REPUBBLICA DEL CONGO
ZONE_2;CONGO BRAZZAVILLE;REPUBBLICA DEL CONGO
ZONE_2;CONGO REP DEMOCRATICA EX ZAIRE;REPUBBLICA DEMOCRATICA DEL CONGO
ZONE_2;CONGO REP. DEMOCRATICA (EX ZAIRE);REPUBBLICA DEMOCRATICA DEL CONGO
ZONE_2;CONGO THE DEMOCRATIC REPUBLIC OF THE;REPUBBLICA DEMOCRATICA DEL CONGO
ZONE_2;CONGO, THE DEMOCRATIC REPUBLIC OF THE;REPUBBLICA DEMOCRATICA DEL CONGO
ZONE_2;CONGO;REPUBBLICA DEL CONGO
ZONE_2;COREA DEL NORD;REP. DEMOCRATICA POPOLARE DI COREA
ZONE_2;COREA DEL SUD;REPUBBLICA DI COREA
ZONE_2;COREA;REPUBBLICA DI COREA
ZONE_2;COREE POPULAIRE;REP. DEMOCRATICA POPOLARE DI COREA
ZONE_2;CORÉE POPULAIRE;REP. DEMOCRATICA POPOLARE DI COREA
ZONE_2;COREE;REPUBBLICA DI COREA
ZONE_2;CORÉE;REPUBBLICA DI COREA
ZONE_2;COSTA D' AVORIO;COSTA D'AVORIO
ZONE_2;COSTA D'AVORIO;COSTA D'AVORIO
ZONE_2;COSTA DAVORIO;COSTA D'AVORIO
ZONE_2;COSTA DE MARFIL;COSTA D'AVORIO
ZONE_2;COSTA RICA;COSTA RICA
ZONE_2;COSTARICA;COSTA RICA
ZONE_2;COTE D'IVOIRE;COSTA D'AVORIO
ZONE_2;CÔTE D'IVOIRE;COSTA D'AVORIO
ZONE_2;COTE DE IVOIRE;COSTA D'AVORIO
ZONE_2;CUBA;CUBA
ZONE_2;CURACAO;ANTILLE OLANDESI
ZONE_2;DEMOCRATIC PEOPLE'S REPUBLIC OF KOREA;REP. DEMOCRATICA POPOLARE DI COREA
ZONE_2;DEMOCRATIC REPUBLIC OF CONGO;REPUBBLICA DEMOCRATICA DEL CONGO
ZONE_2;DJIBOUTI;GIBUTI
ZONE_2;DOMINICA REPUBLIC;REPUBBLICA DOMINICANA
ZONE_2;DOMINICA;DOMINICA
ZONE_2;DOMINICAN REPUBLIC;REPUBBLICA DOMINICANA
ZONE_2;DOMINICANA;REPUBBLICA DOMINICANA
ZONE_2;DOMINIQUE;DOMINICA
ZONE_2;DUBAI;EMIRATI ARABI UNITI
ZONE_2;EAST TIMOR;TIMOR PORTOGHESE
ZONE_2;ECUADOR;EQUADOR
ZONE_2;EL SALVADOR;EL SALVADOR
ZONE_2;EMIRATI ARABI UNITI;EMIRATI ARABI UNITI
ZONE_2;EMIRATI ARABI;EMIRATI ARABI UNITI
ZONE_2;EMIRATOS ARABES UNIDOS;EMIRATI ARABI UNITI
ZONE_2;EMIRATS ARABES UNIS;EMIRATI ARABI UNITI
ZONE_2;EQUADOR;EQUADOR
ZONE_2;EQUATEUR;EQUADOR
ZONE_2;EQUATORIAL GUINEA;GUINEA EQUATORIALE
ZONE_2;ERITREA;ERITREA
ZONE_2;ERYTHREE;ERITREA
ZONE_2;ÉRYTHRÉE;ERITREA
ZONE_2;ESTADOS UNIDOS DE AMERICA;STATI UNITI D'AMERICA
ZONE_2;ETATS UNIS DAMERIQUE;STATI UNITI D'AMERICA
ZONE_2;ETATS UNIS;STATI UNITI D'AMERICA
ZONE_2;ÉTATS UNIS;STATI UNITI D'AMERICA
ZONE_2;ETATS-UNIS;STATI UNITI D'AMERICA
ZONE_2;ÉTATS-UNIS;STATI UNITI D'AMERICA
ZONE_2;ETHIOPIA;ETIOPIA
ZONE_2;ETHIOPIE;ETIOPIA
ZONE_2;ETIOPIA;ETIOPIA
ZONE_2;FALKLAND ILES;ISOLE FALKLAND
ZONE_2;FALKLAND ISLAND;ISOLE FALKLAND
ZONE_2;FALKLAND ISLANDS (MALVINAS);ISOLE FALKLAND
ZONE_2;FALKLAND ISLANDS MALVINAS;ISOLE FALKLAND
ZONE_2;FALKLAND ISLANDS;ISOLE FALKLAND
ZONE_2;FALKLAND ISLAS;ISOLE FALKLAND
ZONE_2;FALKLAND MALVINAS;ISOLE FALKLAND
ZONE_2;FALKLAND;ISOLE FALKLAND
ZONE_2;FALKLAND(MALVINAS);ISOLE FALKLAND
ZONE_2;FILIPINAS;FILIPPINE
ZONE_2;FILIPPINE;FILIPPINE
ZONE_2;FORMOSA;TAIWAN
ZONE_2;FRENCH GUIANA;GUYANA FRANCESE
ZONE_2;GABON;GABON
ZONE_2;GABONESE REPUBLIC;GABON
ZONE_2;GAMBIA;GAMBIA
ZONE_2;GAMBIE;GAMBIA
ZONE_2;GEORGIA DEL SUD E ISOLE SANDWICH;GEORGIA DEL SUD E SANDWICH DEL SUD
ZONE_2;GEORGIA DEL SUD E SANDWICH DEL SUD;GEORGIA DEL SUD E SANDWICH DEL SUD
ZONE_2;GEORGIA DEL SUD;GEORGIA DEL SUD E SANDWICH DEL SUD
ZONE_2;GEORGIA;GEORGIA
ZONE_2;GEORGIE DU SUD;GEORGIA DEL SUD E SANDWICH DEL SUD
ZONE_2;GÉORGIE DU SUD;GEORGIA DEL SUD E SANDWICH DEL SUD
ZONE_2;GEORGIE;GEORGIA
ZONE_2;GÉORGIE;GEORGIA
ZONE_2;GHANA;GHANA
ZONE_2;GIAMAICA;GIAMAICA
ZONE_2;GIAPPONE;GIAPPONE
ZONE_2;GIBUTI;GIBUTI
ZONE_2;GRANADA;GRENADA
ZONE_2;GREENLAND;GROENLANDIA
ZONE_2;GRENADA;GRENADA
ZONE_2;GRENADE;GRENADA
ZONE_2;GRENADINES;SAINT VINCENT E LE GRENADINE
ZONE_2;GROENLAND;GROENLANDIA
ZONE_2;GROENLANDIA;GROENLANDIA
ZONE_2;GUADALUPA;GUADALUPA
ZONE_2;GUADALUPE;GUADALUPA
ZONE_2;GUADELOUPE;GUADALUPA
ZONE_2;GUADELUPE;GUADALUPA
ZONE_2;GUANTANAMO BAY;GUANTANAMO BAY
ZONE_2;GUANTANAMO;GUANTANAMO BAY
ZONE_2;GUATEMALA;GUATEMALA
ZONE_2;GUAYANA FRANCESA;GUYANA FRANCESE
ZONE_2;GUAYANA;GUYANA
ZONE_2;GUIANA;GUYANA FRANCESE
ZONE_2;GUINEA BISSAU;GUINEA BISSAU
ZONE_2;GUINEA ECUATORIAL;GUINEA EQUATORIALE
ZONE_2;GUINEA EQUATORIALE;GUINEA EQUATORIALE
ZONE_2;GUINEA-BISSAU;GUINEA BISSAU
ZONE_2;GUINEA;GUINEA
ZONE_2;GUINEAEQUATORIALE;GUINEA EQUATORIALE
ZONE_2;GUINEE BISSAU;GUINEA BISSAU
ZONE_2;GUINÉE BISSAU;GUINEA BISSAU
ZONE_2;GUINEE EQUATORIALE;GUINEA EQUATORIALE
ZONE_2;GUINÉE ÉQUATORIALE;GUINEA EQUATORIALE
ZONE_2;GUINÉE-BISSAU;GUINEA BISSAU
ZONE_2;GUINEE;GUINEA
ZONE_2;GUINÉE;GUINEA
ZONE_2;GUYANA FRANCESE;GUYANA FRANCESE
ZONE_2;GUYANA;GUYANA
ZONE_2;GUYANAFRANCESE;GUYANA FRANCESE
ZONE_2;GUYANE FRANCAISE;GUYANA FRANCESE
ZONE_2;GUYANE;GUYANA
ZONE_2;HAITI;HAITI
ZONE_2;HONDURAS;HONDURAS
ZONE_2;HONG KONG;HONG KONG
ZONE_2;HONGKONG;HONG KONG
ZONE_2;ILES MALOVINES;ISOLE FALKLAND
ZONE_2;ILES VIERGES AMERICAINES;ISOLE VERGINI AMERICANE
ZONE_2;ILES VIERGES BRITANNIQUES;ISOLE VERGINI BRITANNICHE
ZONE_2;ILES VIERGES DES ETATS UNIS;ISOLE VERGINI AMERICANE
ZONE_2;ILES VIERGES DES ETATS-UNIS;ISOLE VERGINI AMERICANE
ZONE_2;INDE;INDIA
ZONE_2;INDIA;INDIA
ZONE_2;INDONESIA;INDONESIA
ZONE_2;INDONESIE;INDONESIA
ZONE_2;INDONÉSIE;INDONESIA
ZONE_2;IRAN ISLAMIC REPUBLIC OF;IRAN
ZONE_2;IRAN, ISLAMIC REPUBLIC OF;IRAN
ZONE_2;IRAN;IRAN
ZONE_2;IRAQ;IRAQ
ZONE_2;ISLAS MALVINA;ISOLE FALKLAND
ZONE_2;ISLAS MALVINAS;ISOLE FALKLAND
ZONE_2;ISLAS VIRGENES AMERICANAS;ISOLE VERGINI AMERICANE
ZONE_2;ISLAS VIRGENES BRITANICAS;ISOLE VERGINI BRITANNICHE
ZONE_2;ISOLA CAIMAN;ISOLE CAYMAN
